TACC: Starting up job 6050088
TACC: Setting up parallel environment for MVAPICH2+mpispawn.
TACC: Starting parallel tasks...
Duration: 0.082793 seconds
Index	x	y	mass	fx	fy
166	7.341173	93.387405	0.100000	-2124185.750000	-11223609.000000(--err)
166	7.341173	93.387405	0.100000	2109846.750000	11236951.000000
167	24.668842	26.466707	0.100000	-512.794983	828.502563(--err)
167	24.668842	26.466707	0.100000	6.393360	-2463.424805
168	85.596458	52.089787	0.100000	-1.250000	0.875000(--err)
168	85.596458	52.089787	0.100000	365430.781250	1175967.000000
169	99.572189	50.254215	0.100000	0.000000	0.000000(--err)
169	99.572189	50.254215	0.100000	378317701120.000000	-808061304832.000000
170	65.796822	32.334393	0.100000	-242.831146	-50.795319(--err)
170	65.796822	32.334393	0.100000	-197.955505	-211.924530
171	86.838356	77.267441	0.100000	10.500000	-217.062500(--err)
171	86.838356	77.267441	0.100000	5310697.000000	942785.187500
172	15.655412	26.149296	0.100000	62.563599	41.714043(--err)
172	15.655412	26.149296	0.100000	1329.127075	-2.293266
173	78.918472	25.717281	0.100000	-59.083984	-260.869141(--err)
173	78.918472	25.717281	0.100000	11471.815430	14529.984375
174	77.749077	97.318710	0.100000	0.000000	0.000000(--err)
174	77.749077	97.318710	0.100000	2339662725120.000000	-235915509760.000000
175	94.454071	96.775589	0.100000	-257.198242	-163.485596(--err)
175	94.454071	96.775589	0.100000	14863.945312	-1792.213257
176	18.764587	85.960815	0.100000	3.523865	12.168945(--err)
176	18.764587	85.960815	0.100000	-939.695679	-11343.970703
177	94.058517	37.478024	0.100000	-21652.623047	-3665.714844(--err)
177	94.058517	37.478024	0.100000	37090.570312	-24527.750000
178	63.730766	84.241997	0.100000	-128.000000	36.000000(--err)
178	63.730766	84.241997	0.100000	-40228248.000000	46694388.000000
179	57.701118	71.332329	0.100000	-26.500000	8.500000(--err)
179	57.701118	71.332329	0.100000	-2708256.000000	1046166.062500
180	79.005280	33.694241	0.100000	0.000000	0.000000(--err)
180	79.005280	33.694241	0.100000	-903691894784.000000	1697644806144.000000
181	42.613335	86.346451	0.100000	10.997681	-0.962891(--err)
181	42.613335	86.346451	0.100000	-142.448242	5718.716797
182	27.081648	67.282181	0.100000	-92.771484	32.037109(--err)
182	27.081648	67.282181	0.100000	-6502.447754	-15423.380859
183	12.813155	12.678106	0.100000	5369880.500000	5077394.500000(--err)
183	12.813155	12.678106	0.100000	-5383966.500000	-5080525.500000
184	19.371965	12.385341	0.100000	-12631.062500	33845.796875(--err)
184	19.371965	12.385341	0.100000	-364356.718750	-153332.625000
185	62.932323	85.168793	0.100000	-204.000000	68.000000(--err)
185	62.932323	85.168793	0.100000	40227812.000000	-46696528.000000
186	44.719734	49.770679	0.100000	-64.000000	-64.000000(--err)
186	44.719734	49.770679	0.100000	-364456000.000000	459696160.000000
187	62.436230	60.375149	0.100000	11.345703	16.428223(--err)
187	62.436230	60.375149	0.100000	-18320.746094	-5137.408691
188	75.919983	41.354706	0.100000	-968981.625000	-13904371.000000(--err)
188	75.919983	41.354706	0.100000	966310.437500	13901122.000000
189	86.092430	53.669052	0.100000	-4.031250	4.625000(--err)
189	86.092430	53.669052	0.100000	-365112.781250	-1161308.125000
190	38.673412	80.546501	0.100000	-0.413574	0.027344(--err)
190	38.673412	80.546501	0.100000	-6642.636230	27921.015625
191	50.444649	57.438004	0.100000	0.000000	0.000000(--err)
191	50.444649	57.438004	0.100000	-2516745472.000000	-2338579456.000000
192	66.507324	44.503162	0.100000	-16.551758	-25.805176(--err)
192	66.507324	44.503162	0.100000	8147.733398	-1692.775635
193	94.916031	30.238087	0.100000	-16.000000	64.000000(--err)
193	94.916031	30.238087	0.100000	-80335824.000000	358864928.000000
194	28.745157	52.617146	0.100000	4.000000	-8.000000(--err)
194	28.745157	52.617146	0.100000	4760818.000000	12388040.000000
195	1.570414	7.750432	0.100000	43.500755	-10.529907(--err)
195	1.570414	7.750432	0.100000	54.867760	-1035.991577
196	86.311378	44.183750	0.100000	0.000000	0.000000(--err)
196	86.311378	44.183750	0.100000	-25201542692864.000000	43504826843136.000000
197	94.096878	13.393032	0.100000	-93.740234	72.322266(--err)
197	94.096878	13.393032	0.100000	-8544.259766	27981.447266
198	11.465931	6.910036	0.100000	-10176.000000	-10368.000000(--err)
198	11.465931	6.910036	0.100000	-594547392.000000	281117344.000000
199	26.071136	30.837896	0.100000	-7360.000000	1920.000000(--err)
199	26.071136	30.837896	0.100000	643840512.000000	522771488.000000
200	19.295376	89.003464	0.100000	19.812500	120.031250(--err)
200	19.295376	89.003464	0.100000	-371176.968750	379911.218750
201	16.006685	64.015106	0.100000	-676.105469	91.325195(--err)
201	16.006685	64.015106	0.100000	-20107.511719	-16049.712891
202	38.774143	78.442917	0.100000	-0.500000	-6.125000(--err)
202	38.774143	78.442917	0.100000	1722800.125000	-1280819.750000
203	24.390257	14.694120	0.100000	-58981.925781	-889018.812500(--err)
203	24.390257	14.694120	0.100000	57630.441406	888074.687500
204	19.797619	10.482685	0.100000	-418.466675	1857.574219(--err)
204	19.797619	10.482685	0.100000	-963.533447	22698.085938
205	68.363174	58.471031	0.100000	0.625000	16.437500(--err)
205	68.363174	58.471031	0.100000	-1069743.875000	-854192.187500
206	91.029190	18.807823	0.100000	-22963.812500	-13959.250000(--err)
206	91.029190	18.807823	0.100000	-605986.375000	1118327.875000
207	15.909034	57.536514	0.100000	-32.772461	31.865234(--err)
207	15.909034	57.536514	0.100000	-13874.564453	23502.490234
208	63.310986	10.825060	0.100000	0.000000	8.000000(--err)
208	63.310986	10.825060	0.100000	13417611264.000000	79125840.000000
209	87.774597	92.056145	0.100000	17814.062500	14195.343750(--err)
209	87.774597	92.056145	0.100000	-559978.812500	288093.312500
210	63.442207	89.345016	0.100000	2029.679688	9245.459961(--err)
210	63.442207	89.345016	0.100000	-22718.343750	-11741.564453
211	99.806572	49.753590	0.100000	0.000000	0.000000(--err)
